Word,TFIDF
disease,0.005466962491277186
diabetes,0.0037561367061141036
include,0.0033660724692133655
associate,0.002661228414191954
age,0.002574828175189329
test,0.002571291323300333
child,0.002538449127188224
type,0.0024136487819622107
control,0.002406575078184218
symptom,0.0023964697870727998
ad,0.002264595738068794
infection,0.001925057956725146
change,0.0018765525593903393
disorder,0.0018073313152771253
brain,0.0017542785369421801
suggest,0.0015728885614922257
chest,0.0015370147780466915
finding,0.0015289305451575569
lung,0.0015203410477128516
measure,0.0014677935339334775
protein,0.001449098745377354
depression,0.0014147407555985326
sample,0.0014046354644871144
subject,0.001380382765819711
insulin,0.0013783617075974275
weight,0.0013768459139307148
score,0.0013753301202640018
week,0.001358656389930162
glucose,0.0012894351458169482
syndrome,0.0012621508598161194
artery,0.0012363823674820032
identify,0.0012363823674820032
dementia,0.0011636242714797931
virus,0.0011595821550352257
criterion,0.0011176451969228407
term,0.0010984451438111463
individual,0.0010858135299218737
response,0.0010635818894767538
cough,0.0010433713072539178
onset,0.0010231607250310816
area,9.973922326969654E-4
sleep,9.786974441408419E-4
system,9.726342694739912E-4
region,9.685921530294239E-4
assess,9.402973379174532E-4
feature,9.246341366947551E-4
association,9.160446392500499E-4
kd,9.145288455833371E-4
pneumonia,9.024024962496354E-4
method,9.008867025829227E-4
loss,8.973498506939263E-4
mri,8.872445595825083E-4
affect,8.498549824702613E-4
addition,8.478339242479776E-4
support,8.286338711362833E-4
cortex,8.261075483584288E-4
illness,8.225706964694325E-4
research,8.180233154692943E-4
involve,8.129706699135853E-4
information,8.003390560243126E-4
hba,7.957916750241746E-4
duration,7.841705902460437E-4
exercise,7.816442674681892E-4
pet,7.72044240912342E-4
body,7.695179181344875E-4
confirm,7.634547434676366E-4
medication,7.548652460229313E-4
influenza,7.543599814673604E-4
form,7.518336586895059E-4
stage,7.498126004672222E-4
pattern,7.452652194670841E-4
sensitivity,7.316230764666696E-4
participant,7.250546372442479E-4
dm,7.215177853552516E-4
fever,7.205072562441097E-4
impairment,7.134335524661171E-4
kg,7.114124942438335E-4
matter,7.02822996799128E-4
assessment,6.992861449101318E-4
process,6.861492664652882E-4
ftd,6.859573434666744E-4
al,6.578544513533176E-4
csf,6.371386045749105E-4
adult,6.305701653524888E-4
episode,6.285491071302052E-4
ratio,6.280438425746343E-4
tau,6.275385780190634E-4
dl,6.042964084628017E-4
memory,6.017700856849473E-4
characteristic,5.982332337959508E-4
correlation,5.962121755736673E-4
cohort,5.952016464625255E-4
people,5.906542654623873E-4
abnormality,5.876226781289618E-4
examine,5.65896302239413E-4
pcr,5.633699794615585E-4
testing,5.573068047947076E-4
marker,5.573068047947076E-4
atrophy,5.512436301278568E-4
pathology,5.466962491277186E-4
phase,5.461909845721477E-4
correlate,5.325488415717333E-4
problem,5.274961960160243E-4
practice,5.23454079571457E-4
variable,5.209277567936025E-4
represent,5.18401434015748E-4
comparison,5.098119365710426E-4
plasma,5.088014074599008E-4
prpsc,5.082897160449262E-4
pe,5.07790878348759E-4
work,5.062750846820462E-4
specificity,5.02232968237479E-4
stress,4.961697935706282E-4
dvt,4.956645290150573E-4
relationship,4.941487353483445E-4
ftld,4.929274775836472E-4
tract,4.8555923790363916E-4
prion,4.7292762401436654E-4
scale,4.7292762401436654E-4
vein,4.7141183034765384E-4
plaque,4.6787497845865753E-4
amyloid,4.6736971390308663E-4
strategy,4.618118037918067E-4
characterize,4.5827495190281037E-4
set,4.476643962358214E-4
lack,4.4513807345796685E-4
focus,4.3856963423554503E-4
establish,4.380643696799742E-4
involvement,4.365485760132615E-4
suicide,4.3553804690211963E-4
skin,4.33516988679836E-4
mood,4.3301172412426507E-4
alzheimer,4.325064595686942E-4
investigate,4.3149593045755237E-4
order,4.3149593045755237E-4
obesity,4.2593802034627246E-4
mci,4.2492749123513066E-4
lithium,4.2290643301284706E-4
vessel,4.173485229015671E-4
metformin,4.153274646792835E-4
lobe,4.1330640645699984E-4
relate,4.12295877345858E-4
count,4.1128534823471624E-4
assay,4.042116444567236E-4
thrombosis,4.032011153455817E-4
resistance,3.9360108878973456E-4
person,3.900642369007382E-4
cjd,3.853918083546944E-4
sequence,3.845063267894583E-4
ivig,3.814747394560329E-4
cholesterol,3.799589457893202E-4
distribution,3.7894841667817833E-4
repeat,3.769273584558947E-4
hypoglycemia,3.728852420113275E-4
progression,3.7237997745575663E-4
deficit,3.673273319000475E-4
decline,3.658115382333348E-4
prp,3.622746863443385E-4
kawasaki,3.612641572331967E-4
insomnia,3.5671677623305855E-4
goal,3.562115116774876E-4
regression,3.562115116774876E-4
cn,3.5520098256634585E-4
performance,3.5469571801077495E-4
foot,3.5317992434406224E-4
education,3.526746597884913E-4
nodule,3.5166413067734954E-4
ulcer,3.511588661217786E-4
clinician,3.3953778134364777E-4
scjd,3.386371695594975E-4
reflect,3.3600092945465146E-4
specimen,3.3600092945465146E-4
cvd,3.3195881301008426E-4
ard,3.299377547878006E-4
cad,3.2387458012094974E-4
question,3.2387458012094974E-4
motor,3.1932719912081164E-4
interest,3.1882193456524074E-4
underlie,3.157903472318153E-4
neuron,3.137692890095317E-4
gain,3.097271725649644E-4
apply,3.092219080093935E-4
signal,3.072008497871099E-4
vary,3.06695585231539E-4
inclusion,3.0214820423140086E-4
hospitalization,2.9810608778683365E-4
link,2.9760082323126275E-4
mmol,2.9608502956455005E-4
vte,2.955797650089791E-4
sd,2.940639713422664E-4
strain,2.940639713422664E-4
behavior,2.8800079667541553E-4
mellitus,2.8648500300870283E-4
pd,2.8648500300870283E-4
basis,2.8597973845313193E-4
infiltrate,2.8547447389756103E-4
section,2.8446394478641923E-4
differ,2.8345341567527737E-4
consist,2.829481511197065E-4
document,2.8092709289742287E-4
fdg,2.8042182834185197E-4
adjust,2.74863918230572E-4
definition,2.743586536750011E-4
wound,2.728428600082884E-4
issue,2.723375954527175E-4
network,2.708218017860048E-4
difficulty,2.6677968534143755E-4
resolution,2.6627442078586665E-4
lipid,2.6576915623029575E-4
threshold,2.6374809800801214E-4
attempt,2.6324283345244124E-4
subtype,2.617270397857285E-4
rest,2.617270397857285E-4
monitoring,2.617270397857285E-4
lifestyle,2.612217752301576E-4
bmus,2.607165106745867E-4
rule,2.602112461190158E-4
classify,2.597059815634449E-4
community,2.597059815634449E-4
sex,2.59200717007874E-4
intensity,2.59200717007874E-4
parent,2.581901878967322E-4
category,2.571796587855904E-4
leg,2.561691296744486E-4
interaction,2.551586005633067E-4
attention,2.531375423410231E-4
contact,2.506112195631686E-4
neuropathy,2.506112195631686E-4
hyperglycemia,2.501059550075977E-4
variation,2.490954258964559E-4
extremity,2.4757963222974316E-4
importance,2.4757963222974316E-4
als,2.4656910311860136E-4
hippocampus,2.4606383856303046E-4
challenge,2.4353751578517596E-4
recognize,2.4303225122960503E-4
probability,2.4303225122960503E-4
pathogenesis,2.4303225122960503E-4
ecg,2.4303225122960503E-4
task,2.4252698667403416E-4
disturbance,2.4202172211846323E-4
gyrus,2.400006638961796E-4
meet,2.384848702294669E-4
training,2.3444275378489967E-4
load,2.3343222467375784E-4
limb,2.3242169556261607E-4
differentiate,2.3141116645147426E-4
crp,2.3141116645147426E-4
vasculitis,2.3090590189590334E-4
cluster,2.3090590189590334E-4
secretion,2.27369050006907E-4
national,2.2534799178462338E-4
distress,2.248427272290525E-4
hypothesis,2.2433746267348158E-4
rt,2.238321981179107E-4
binding,2.2231640445119795E-4
glp,2.2175057257150526E-4
extent,2.2130587534005615E-4
steroid,2.2080061078448524E-4
interview,2.2029534622891432E-4
progress,2.1827428800663074E-4
item,2.1726375889548894E-4
healing,2.1726375889548894E-4
prescribe,2.16758494339918E-4
ideation,2.16758494339918E-4
anxiety,2.1574796522877619E-4
thickness,2.1574796522877619E-4
mn,2.1473743611763438E-4
comorbidity,2.1423217156206348E-4
begin,2.1271637789535075E-4
ldl,2.1170584878420898E-4
nucleus,2.1069531967306718E-4
dpp,2.0972795116702605E-4
bd,2.0968479056192535E-4
understand,2.0715846778407082E-4
aspect,2.0665320322849992E-4
member,2.06147938672929E-4
metabolism,2.0564267411735812E-4
alteration,2.046321450062163E-4
human,2.0412688045064542E-4
domain,2.036216158950745E-4
spectrum,2.026110867839327E-4
burden,2.026110867839327E-4
pathogen,2.0160055767279086E-4
dimer,2.0109529311722E-4
peptide,2.0008476400607816E-4
institute,1.9957949945050723E-4
membrane,1.9856897033936546E-4
transmission,1.9856897033936546E-4
hospitalize,1.9856897033936546E-4
platelet,1.9856897033936546E-4
mania,1.9452685389479823E-4
extract,1.940215893392273E-4
degeneration,1.930110602280855E-4
plan,1.930110602280855E-4
sars,1.9236194247166722E-4
antidepressant,1.9200053111694372E-4
united,1.909900020058019E-4
chd,1.8795841467237647E-4
genotype,1.8694788556123466E-4
cut,1.8644262100566374E-4
nature,1.8543209189452196E-4
hdl,1.8543209189452196E-4
ada,1.8492682733895104E-4
list,1.8492682733895104E-4
angina,1.8442156278338013E-4
power,1.8442156278338013E-4
autopsy,1.839162982278092E-4
outpatient,1.8341103367223833E-4
amputation,1.8341103367223833E-4
version,1.829057691166674E-4
bmi,1.8240050456109653E-4
retinopathy,1.813899754499547E-4
respond,1.813899754499547E-4
radiograph,1.8088471089438378E-4
tb,1.803794463388129E-4
prophylaxis,1.803794463388129E-4
exhibit,1.7936891722767108E-4
stenosis,1.7835838811652927E-4
deposition,1.7684259444981657E-4
albumin,1.7633732989424564E-4
distinguish,1.7583206533867477E-4
mv,1.7583206533867477E-4
alpha,1.7431627167196202E-4
voxel,1.7330574256082021E-4
childhood,1.7280047800524931E-4
tend,1.7280047800524931E-4
variety,1.717899488941075E-4
cross,1.707794197829657E-4
match,1.69263626116253E-4
species,1.687583615606821E-4
display,1.6825309700511118E-4
likelihood,1.6825309700511118E-4
rna,1.6774783244954028E-4
yield,1.6774783244954028E-4
hemoglobin,1.6673730333839848E-4
analyse,1.6572677422725665E-4
variant,1.6471624511611485E-4
caa,1.6421098056054395E-4
gm,1.6370571600497305E-4
codon,1.6320045144940212E-4
cov,1.6230538896046923E-4
host,1.6168465778268945E-4
algorithm,1.6016886411597672E-4
validate,1.5915833500483492E-4
agreement,1.571372767825513E-4
call,1.561267476714095E-4
peak,1.561267476714095E-4
healthcare,1.5511621856026769E-4
effort,1.5511621856026769E-4
inform,1.5511621856026769E-4
seek,1.5410568944912586E-4
states,1.5360042489355496E-4
error,1.5309516033798406E-4
rating,1.5258989578241316E-4
cingulate,1.5258989578241316E-4
consensus,1.5157936667127133E-4
variability,1.5157936667127133E-4
live,1.5056883756012953E-4
emerge,1.5006357300455863E-4
stimulus,1.495583084489877E-4
accumulation,1.4905304389341683E-4
creutzfeldt,1.4761107391055017E-4
mdd,1.475372502267041E-4
orf,1.470319856711332E-4
band,1.470319856711332E-4
feel,1.465267211155623E-4
dsm,1.460214565599914E-4
understanding,1.455161920044205E-4
hd,1.4450566289327867E-4
coefficient,1.4450566289327867E-4
provider,1.4450566289327867E-4
code,1.4400039833770777E-4
correct,1.4349513378213687E-4
rash,1.4349513378213687E-4
exclusion,1.4248460467099506E-4
sclerosis,1.4197934011542416E-4
practitioner,1.4197934011542416E-4
barrier,1.4147407555985326E-4
diffusion,1.3894775278199873E-4
vad,1.3892806956287076E-4
processing,1.3844248822642783E-4
carrier,1.379372236708569E-4
context,1.379372236708569E-4
average,1.379372236708569E-4
disability,1.37431959115286E-4
deposit,1.37431959115286E-4
persist,1.369266945597151E-4
recruit,1.369266945597151E-4
wm,1.359161654485733E-4
tangle,1.35588452506071E-4
ali,1.349056363374315E-4
bronchiolitis,1.344003717818606E-4
nephropathy,1.3389510722628967E-4
concept,1.3338984267071877E-4
recognition,1.3288457811514787E-4
japan,1.3237931355957697E-4
susceptibility,1.3187404900400607E-4
indicator,1.3187404900400607E-4
eye,1.3187404900400607E-4
feeling,1.3136878444843514E-4
environment,1.3136878444843514E-4
encephalitis,1.3086351989286424E-4
spect,1.3086351989286424E-4
serve,1.3035825533729334E-4
diarrhea,1.2985299078172244E-4
resource,1.2985299078172244E-4
thalamus,1.2934772622615154E-4
file,1.2934772622615154E-4
modification,1.2934772622615154E-4
fiber,1.2884246167058064E-4
china,1.2884246167058064E-4
apoe,1.2884246167058064E-4
consolidation,1.2884246167058064E-4
dlb,1.2824129498111147E-4
relapse,1.2783193255943884E-4
graft,1.2783193255943884E-4
respondent,1.26821403448297E-4
lose,1.263161388927261E-4
overlap,1.258108743371552E-4
employ,1.253056097815843E-4
content,1.248003452260134E-4
comprise,1.248003452260134E-4
genome,1.2429508067044248E-4
adolescent,1.2378981611487158E-4
technology,1.2328455155930068E-4
alter,1.2277928700372978E-4
cerebellar,1.2227402244815888E-4
ect,1.20226214044792E-4
trigger,1.1974769967030436E-4
retention,1.1974769967030436E-4
expansion,1.1974769967030436E-4
nccp,1.1955829063343204E-4
outbreak,1.1924243511473345E-4
executive,1.1823190600359164E-4
md,1.1823190600359164E-4
core,1.1772664144802073E-4
encode,1.1772664144802073E-4
carbohydrate,1.1722137689244983E-4
throat,1.1722137689244983E-4
rhythm,1.1722137689244983E-4
flair,1.1722137689244983E-4
immunoglobulin,1.1621084778130803E-4
