Word,TFIDF
patient,0.015600043153251674
study,0.008137790932024987
disease,0.005466962491277186
case,0.004308390865353102
show,0.003901147633562953
treatment,0.003792010489559638
diabetes,0.0037561367061141036
group,0.0037399682403358348
risk,0.0034726832904388265
year,0.0034509569145492773
increase,0.0033913356969919105
include,0.0033660724692133655
report,0.003203377282319534
result,0.0029623660893122127
level,0.002848681564308759
diagnosis,0.0027461128595278658
associate,0.002661228414191954
day,0.0025920071700787396
age,0.002574828175189329
test,0.002571291323300333
child,0.002538449127188224
type,0.0024136487819622107
control,0.002406575078184218
symptom,0.0023964697870727998
ad,0.002264595738068794
analysis,0.0021888060547331583
cell,0.00218425867373302
follow,0.0021438375092873475
datum,0.002140805921953922
blood,0.0020877531436189773
effect,0.0020443003918398793
compare,0.0020230792805059016
factor,0.0020038792273942073
find,0.00197204756039324
time,0.0019609317401706803
infection,0.001925057956725146
change,0.0018765525593903393
therapy,0.0018290576911666743
disorder,0.0018073313152771253
rate,0.0017618575052757437
care,0.0017588259179423184
brain,0.0017542785369421801
hospital,0.001628467662605025
base,0.001602699170270909
suggest,0.0015728885614922257
chest,0.0015370147780466915
perform,0.0015360042489355498
finding,0.0015289305451575569
lung,0.0015203410477128516
month,0.00151933051860171
pain,0.001506698904712437
mg,0.0014763830313781828
measure,0.0014677935339334775
protein,0.001449098745377354
depression,0.0014147407555985326
sample,0.0014046354644871144
difference,0.0013859406759309909
subject,0.001380382765819711
lesion,0.0013793722367085692
insulin,0.0013783617075974275
weight,0.0013768459139307148
score,0.0013753301202640018
week,0.001358656389930162
table,0.0013515826861521694
number,0.001342993188707464
reduce,0.0013258141938180532
glucose,0.0012894351458169482
syndrome,0.0012621508598161194
function,0.0012606350661494067
identify,0.0012363823674820032
artery,0.0012363823674820032
health,0.0012293086637040105
develop,0.0012197086371481633
present,0.0012176875789258797
decrease,0.0011717085043689275
dementia,0.0011636242714797931
virus,0.0011595821550352257
occur,0.001147455805701524
population,0.0011469505411459532
evidence,0.001142908424701386
history,0.0011282557525898297
figure,0.0011176451969228407
criterion,0.0011176451969228407
term,0.0010984451438111463
outcome,0.0010974346147000044
individual,0.0010858135299218737
observe,0.00108379247169959
activity,0.001074192445143743
response,0.0010635818894767538
trial,0.0010570134502543322
lead,0.0010504450110319103
cough,0.0010433713072539178
pressure,0.001041350249031634
imaging,0.0010347818098092123
ct,0.0010342765452536415
drug,0.0010327607515869287
provide,0.0010307396933646451
range,0.0010287186351423615
onset,0.0010231607250310816
demonstrate,0.0010176028149198016
condition,0.0010170975503642308
infant,0.001015076492141947
complication,0.0010140659630308052
review,0.0010115396402529508
hbov,0.0010085080529195253
treat,0.0010085080529195253
area,9.973922326969654E-4
woman,9.958764390302526E-4
detect,9.812237669186966E-4
sleep,9.786974441408419E-4
describe,9.766763859185585E-4
system,9.726342694739912E-4
region,9.685921530294239E-4
improve,9.62528978362573E-4
period,9.529289518067258E-4
require,9.478763062510168E-4
assess,9.402973379174532E-4
feature,9.246341366947551E-4
association,9.160446392500499E-4
kd,9.145288455833371E-4
diagnose,9.125077873610534E-4
gene,9.084656709164862E-4
model,9.034130253607772E-4
pneumonia,9.024024962496354E-4
method,9.008867025829227E-4
management,8.988656443606391E-4
loss,8.973498506939263E-4
tissue,8.877498241380791E-4
mri,8.872445595825083E-4
dose,8.842129722490829E-4
presence,8.756234748043774E-4
evaluate,8.660234482485301E-4
examination,8.594550090261085E-4
remain,8.564234216926831E-4
affect,8.498549824702613E-4
make,8.488444533591195E-4
addition,8.478339242479776E-4
life,8.35202310358705E-4
receive,8.326759875808505E-4
pib,8.316654584697088E-4
