Semantic Word,TFIDF
patient,0.01838182261290678
disease,0.011118176025886769
study,0.006801103054356004
case,0.005070847617353595
treatment,0.0048138789880958115
diagnosis,0.00406010434227298
report,0.0039059231647183097
diabetes,0.0038887919227677905
clinical,0.003717479503262602
year,0.0035461670837574127
present,0.0033919859062027423
include,0.0033919859062027423
group,0.003254935970598591
disorder,0.003169279760845997
risk,0.003135017276944959
increase,0.0028095236798851
therapy,0.0027581299540335434
control,0.0027238674701325055
level,0.002672473744280949
child,0.002603948776478873
factor,0.002603948776478873
syndrome,0.002603948776478873
high,0.0025011613247757597
show,0.002432636356973684
analysis,0.002415505115023165
symptom,0.0023641113891716085
finding,0.0022099302116169385
result,0.0021414052438148627
dementia,0.002107142759913825
compare,0.002107142759913825
imaging,0.002090011517963306
subject,0.002055749034062268
pneumonia,0.0020386177921117494
pain,0.0020386177921117494
depression,0.0019700928243096736
significant,0.0019700928243096736
+,0.0019358303404086359
suggest,0.001918699098458117
care,0.001918699098458117
ratio,0.0019015678565075982
complication,0.0018673053726065603
review,0.0018501741306560413
age,0.0018501741306560413
test,0.0018159116467550036
infection,0.001730255437002409
common,0.0016788617111508522
woman,0.0016788617111508522
related,0.0016445992272498145
diagnose,0.0016445992272498145
outcome,0.0016445992272498145
base,0.0016274679852992956
effect,0.0016103367433487766
month,0.0016103367433487766
embolism,0.0016078851724639779
change,0.0015760742594477391
cough,0.0015760742594477391
find,0.0015589430174972202
management,0.0015589430174972202
datum,0.0015418117755467012
evaluate,0.0015418117755467012
day,0.0015246805335961825
positive,0.0015075492916456635
feature,0.0014904180496951446
rate,0.0014904180496951446
measure,0.0014561555657941067
acute,0.001439024323843588
detect,0.001421893081893069
drug,0.001421893081893069
bocavirus,0.00140476183994255
tomography,0.00140476183994255
condition,0.00140476183994255
protein,0.001387630597992031
association,0.001387630597992031
assess,0.001370499356041512
prevalence,0.0013533681140909934
trial,0.0013533681140909934
provide,0.0013533681140909934
individual,0.0013362368721404744
lung,0.0013362368721404744
early,0.0013362368721404744
virus,0.0013362368721404744
ideation,0.0013362368721404744
role,0.0013362368721404744
mutation,0.001336129932047531
lesion,0.0013019743882394365
artery,0.0012848431462889175
occur,0.0012848431462889175
difference,0.0012848431462889175
score,0.0012677119043383988
impairment,0.0012677119043383988
suicide,0.0012677119043383988
metformin,0.0012677119043383988
lithium,0.0012455448519087154
h1n1,0.0012228985818740115
follow,0.001216318178486842
identify,0.0011991869365363232
perform,0.0011991869365363232
+2,0.0011820556945858042
reveal,0.0011649244526352853
population,0.0011477932106847663
bipolar,0.0011306619687342474
characteristic,0.0011306619687342474
3,0.0011306619687342474
adult,0.0011135307267837286
lower,0.0010963994848332097
cancer,0.0010963994848332097
neuropathology,0.0010963994848332097
illness,0.001079268242882691
diabetic,0.001079268242882691
degeneration,0.0010643746916310839
sar,0.001062137000932172
presentation,0.001062137000932172
brain,0.001062137000932172
severe,0.001062137000932172
rare,0.001027874517031134
thrombosis,0.001027874517031134
diagnostic,0.0010107432750806153
form,0.0010107432750806153
observe,9.936120331300964E-4
2,9.936120331300964E-4
response,9.764807911795774E-4
health,9.764807911795774E-4
potential,9.764807911795774E-4
normal,9.593495492290585E-4
aim,9.593495492290585E-4
prion,9.593495492290585E-4
fever,9.593495492290585E-4
influenza,9.593495492290585E-4
mortality,9.422183072785396E-4
total,9.422183072785396E-4
cost,9.422183072785396E-4
development,9.422183072785396E-4
pressure,9.422183072785396E-4
surgery,9.422183072785396E-4
pet,9.284970714228606E-4
model,9.250870653280207E-4
intervention,9.250870653280207E-4
method,9.250870653280207E-4
specific,9.250870653280207E-4
mania,9.250870653280207E-4
people,9.079558233775018E-4
weight,9.079558233775018E-4
presence,9.079558233775018E-4
injury,8.908245814269829E-4
amyloid,8.908245814269829E-4
affect,8.908245814269829E-4
event,8.908245814269829E-4
approach,8.736933394764639E-4
type,8.736933394764639E-4
cortical,8.736933394764639E-4
duration,8.736933394764639E-4
function,8.736933394764639E-4
range,8.565620975259451E-4
confirm,8.565620975259451E-4
criterion,8.565620975259451E-4
man,8.565620975259451E-4
system,8.394308555754261E-4
major,8.394308555754261E-4
support,8.394308555754261E-4
evidence,8.394308555754261E-4
sample,8.222996136249073E-4
mechanism,8.222996136249073E-4
statin,8.152657212493409E-4
follow-up,8.051683716743883E-4
lead,8.051683716743883E-4
investigate,8.051683716743883E-4
decrease,8.051683716743883E-4
atrophy,7.92619451214637E-4
week,7.880371297238696E-4
nodule,7.880371297238696E-4
aneurysm,7.880371297238696E-4
period,7.880371297238696E-4
pulmonary,7.880371297238696E-4
area,7.880371297238696E-4
recent,7.880371297238696E-4
practice,7.880371297238696E-4
research,7.880371297238696E-4
mellitus,7.709058877733506E-4
ct,7.709058877733506E-4
long,7.709058877733506E-4
5,7.709058877733506E-4
time,7.537746458228318E-4
prp,7.537746458228318E-4
receive,7.537746458228318E-4
assessment,7.537746458228318E-4
onset,7.537746458228318E-4
low,7.537746458228318E-4
information,7.537746458228318E-4
current,7.366434038723128E-4
evaluation,7.366434038723128E-4
examine,7.366434038723128E-4
incidence,7.19512161921794E-4
understand,7.19512161921794E-4
correlation,7.19512161921794E-4
pathology,7.19512161921794E-4
cell,7.19512161921794E-4
status,7.19512161921794E-4
stage,7.19512161921794E-4
cardiac,7.19512161921794E-4
reduce,7.02380919971275E-4
gene,7.02380919971275E-4
detection,7.02380919971275E-4
knowledge,7.02380919971275E-4
conduct,7.02380919971275E-4
focus,7.02380919971275E-4
fatal,7.02380919971275E-4
failure,7.02380919971275E-4
biomarker,7.02380919971275E-4
human,7.02380919971275E-4
cohort,7.02380919971275E-4
participant,7.02380919971275E-4
sporadic,7.020343710758214E-4
history,6.85249678020756E-4
vascular,6.85249678020756E-4
similar,6.85249678020756E-4
process,6.681184360702372E-4
literature,6.681184360702372E-4
angiography,6.681184360702372E-4
treat,6.681184360702372E-4
male,6.681184360702372E-4
glycemia,6.567418310064135E-4
c9orf72,6.509871941197182E-4
region,6.509871941197182E-4
chronic,6.509871941197182E-4
initial,6.509871941197182E-4
state,6.509871941197182E-4
large,6.338559521691994E-4
fluid,6.338559521691994E-4
index,6.338559521691994E-4
coronary,6.338559521691994E-4
strategy,6.338559521691994E-4
agent,6.338559521691994E-4
breast,6.338559521691994E-4
tau,6.167247102186804E-4
abnormality,6.167247102186804E-4
negative,6.167247102186804E-4
hypertension,6.167247102186804E-4
hospital,6.167247102186804E-4
dysfunction,6.167247102186804E-4
ulcer,6.167247102186804E-4
young,6.167247102186804E-4
problem,6.167247102186804E-4
therapeutic,6.167247102186804E-4
variable,6.167247102186804E-4
insulin,6.114492909370057E-4
morbidity,5.995934682681616E-4
target,5.995934682681616E-4
serum,5.995934682681616E-4
severity,5.995934682681616E-4
pathogenesis,5.995934682681616E-4
impact,5.995934682681616E-4
effective,5.995934682681616E-4
-,5.995934682681616E-4
sclerosis,5.888030209023017E-4
predictor,5.824622263176426E-4
sensitivity,5.824622263176426E-4
specificity,5.824622263176426E-4
tissue,5.824622263176426E-4
frequently,5.824622263176426E-4
prevent,5.824622263176426E-4
induce,5.824622263176426E-4
cognitive,5.824622263176426E-4
antidepressant,5.824622263176426E-4
behavior,5.824622263176426E-4
multiple,5.824622263176426E-4
cortex,5.661567508675979E-4
frequency,5.653309843671237E-4
select,5.653309843671237E-4
adherence,5.653309843671237E-4
number,5.653309843671237E-4
aetiology,5.653309843671237E-4
represent,5.653309843671237E-4
challenge,5.653309843671237E-4
vte,5.653309843671237E-4
volume,5.653309843671237E-4
characterize,5.653309843671237E-4
mass,5.653309843671237E-4
relationship,5.653309843671237E-4
involve,5.653309843671237E-4
size,5.653309843671237E-4
sign,5.481997424166048E-4
set,5.481997424166048E-4
pattern,5.481997424166048E-4
ard,5.481997424166048E-4
episodic,5.481997424166048E-4
death,5.481997424166048E-4
associate,5.481997424166048E-4
flight,5.481997424166048E-4
examination,5.481997424166048E-4
life,5.481997424166048E-4
kuru,5.481997424166048E-4
edema,5.481997424166048E-4
interval,5.481997424166048E-4
dose,5.481997424166048E-4
glucose,5.481997424166048E-4
efficacy,5.31068500466086E-4
tumor,5.31068500466086E-4
future,5.31068500466086E-4
x-ray,5.31068500466086E-4
involvement,5.31068500466086E-4
travel,5.31068500466086E-4
childhood,5.31068500466086E-4
clinician,5.31068500466086E-4
make,5.31068500466086E-4
combination,5.31068500466086E-4
baseline,5.13937258515567E-4
protease,5.13937258515567E-4
suicidal,5.13937258515567E-4
bilateral,5.13937258515567E-4
exercise,5.13937258515567E-4
systemic,5.13937258515567E-4
testing,5.13937258515567E-4
accuracy,5.13937258515567E-4
hrv,5.13937258515567E-4
pt,5.13937258515567E-4
complete,5.13937258515567E-4
physician,5.13937258515567E-4
progressive,5.13937258515567E-4
mrus,5.13937258515567E-4
vat,5.13937258515567E-4
admit,5.13937258515567E-4
matter,5.13937258515567E-4
effectiveness,5.13937258515567E-4
dimer,4.982179407634861E-4
antibody,4.968060165650482E-4
procedure,4.968060165650482E-4
activity,4.968060165650482E-4
survey,4.968060165650482E-4
marker,4.968060165650482E-4
correlate,4.968060165650482E-4
improve,4.968060165650482E-4
effusion,4.7967477461452923E-4
suvmax,4.7967477461452923E-4
complex,4.7967477461452923E-4
poor,4.7967477461452923E-4
small,4.7967477461452923E-4
analyze,4.7967477461452923E-4
perfusion,4.7967477461452923E-4
measurement,4.7967477461452923E-4
cardiovascular,4.7967477461452923E-4
31,4.7967477461452923E-4
respiratory,4.7967477461452923E-4
combine,4.7967477461452923E-4
order,4.7967477461452923E-4
thickness,4.7557167072878224E-4
dwus,4.7557167072878224E-4
isolate,4.6254353266401033E-4
improvement,4.6254353266401033E-4
diarrhea,4.6254353266401033E-4
spectrum,4.6254353266401033E-4
heart,4.6254353266401033E-4
reduction,4.6254353266401033E-4
long-term,4.6254353266401033E-4
guideline,4.6254353266401033E-4
female,4.6254353266401033E-4
pathophysiology,4.6254353266401033E-4
profile,4.6254353266401033E-4
experience,4.6254353266401033E-4
flap,4.529254006940783E-4
frontal,4.529254006940783E-4
obesity,4.4541229071349143E-4
variant,4.4541229071349143E-4
suffer,4.4541229071349143E-4
vasculitis,4.4541229071349143E-4
regression,4.4541229071349143E-4
monitor,4.4541229071349143E-4
prescribe,4.4541229071349143E-4
zolpidem,4.4541229071349143E-4
fiber,4.4541229071349143E-4
power,4.4541229071349143E-4
kg,4.4541229071349143E-4
vessel,4.4541229071349143E-4
addition,4.4541229071349143E-4
incomplete,4.4541229071349143E-4
sleep,4.4541229071349143E-4
benefit,4.4541229071349143E-4
obtain,4.4541229071349143E-4
medical,4.4541229071349143E-4
1,4.4541229071349143E-4
require,4.4541229071349143E-4
pandemic,4.3027913065937437E-4
healing,4.3027913065937437E-4
subcortical,4.3027913065937437E-4
bronchiolitis,4.3027913065937437E-4
medication,4.2828104876297253E-4
network,4.2828104876297253E-4
biopsy,4.2828104876297253E-4
advance,4.2828104876297253E-4
department,4.2828104876297253E-4
phase,4.2828104876297253E-4
previous,4.2828104876297253E-4
estimate,4.2828104876297253E-4
give,4.2828104876297253E-4
pathogen,4.2828104876297253E-4
65,4.2828104876297253E-4
expression,4.2828104876297253E-4
structure,4.2828104876297253E-4
prevention,4.2828104876297253E-4
dissection,4.2828104876297253E-4
establish,4.1114980681245363E-4
clinic,4.1114980681245363E-4
investigation,4.1114980681245363E-4
functional,4.1114980681245363E-4
morphometry,4.1114980681245363E-4
image,4.1114980681245363E-4
dd,4.1114980681245363E-4
aged,4.1114980681245363E-4
main,4.1114980681245363E-4
amputation,4.1114980681245363E-4
behavioral,4.1114980681245363E-4
kd,4.0763286062467044E-4
meta-analysis,4.0763286062467044E-4
person,3.940185648619348E-4
collect,3.940185648619348E-4
article,3.940185648619348E-4
frequent,3.940185648619348E-4
late,3.940185648619348E-4
pathological,3.940185648619348E-4
center,3.940185648619348E-4
technique,3.940185648619348E-4
comparison,3.940185648619348E-4
pneumoniae,3.8498659058996656E-4
goat,3.768873229114159E-4
objective,3.768873229114159E-4
greater,3.768873229114159E-4
body,3.768873229114159E-4
inflammatory,3.768873229114159E-4
medial,3.768873229114159E-4
phenotype,3.768873229114159E-4
design,3.768873229114159E-4
ftd,3.768873229114159E-4
direct,3.768873229114159E-4
conclusion,3.768873229114159E-4
describe,3.768873229114159E-4
consolidation,3.768873229114159E-4
manic,3.768873229114159E-4
specimen,3.768873229114159E-4
employee,3.768873229114159E-4
coach,3.768873229114159E-4
codon,3.623403205552627E-4
episode,3.59756080960897E-4
point,3.59756080960897E-4
typical,3.59756080960897E-4
accord,3.59756080960897E-4
foot,3.59756080960897E-4
tuberculosis,3.59756080960897E-4
age-year,3.59756080960897E-4
loss,3.59756080960897E-4
71,3.59756080960897E-4
40,3.59756080960897E-4
comorbidity,3.59756080960897E-4
angina,3.42624839010378E-4
absence,3.42624839010378E-4
t2d,3.42624839010378E-4
unit,3.42624839010378E-4
a-factor,3.42624839010378E-4
modality,3.42624839010378E-4
difficult,3.42624839010378E-4
alpha,3.42624839010378E-4
dyspnea,3.42624839010378E-4
infarction,3.42624839010378E-4
pcr,3.42624839010378E-4
regional,3.42624839010378E-4
recovery,3.42624839010378E-4
suspect,3.42624839010378E-4
distribution,3.42624839010378E-4
country,3.42624839010378E-4
typhus,3.42624839010378E-4
viral,3.42624839010378E-4
prediction,3.42624839010378E-4
contrast,3.42624839010378E-4
cv,3.42624839010378E-4
flu,3.42624839010378E-4
structural,3.42624839010378E-4
flair,3.42624839010378E-4
recommend,3.42624839010378E-4
disturbance,3.42624839010378E-4
define,3.42624839010378E-4
atypical,3.42624839010378E-4
detail,3.42624839010378E-4
gender,3.42624839010378E-4
68,3.42624839010378E-4
lobe,3.42624839010378E-4
attempt,3.42624839010378E-4
record,3.42624839010378E-4
unknown,3.42624839010378E-4
primary,3.42624839010378E-4
thrombus,3.42624839010378E-4
hand,3.42624839010378E-4
arm,3.3969405052055874E-4
radiograph,3.3969405052055874E-4
st,3.3969405052055874E-4
hippocampal,3.3969405052055874E-4
erythematosus,3.3969405052055874E-4
microvascular,3.3969405052055874E-4
limited,3.254935970598591E-4
highly,3.254935970598591E-4
relevant,3.254935970598591E-4
inflammation,3.254935970598591E-4
adjust,3.254935970598591E-4
neuropathy,3.254935970598591E-4
post,3.254935970598591E-4
thromboembolism,3.254935970598591E-4
performance,3.254935970598591E-4
paediatric,3.254935970598591E-4
rule,3.254935970598591E-4
laboratory,3.254935970598591E-4
insomnia,3.254935970598591E-4
median,3.254935970598591E-4
routine,3.254935970598591E-4
independent,3.254935970598591E-4
hospitalization,3.254935970598591E-4
prolonged,3.254935970598591E-4
questionnaire,3.254935970598591E-4
single,3.254935970598591E-4
burden,3.254935970598591E-4
carry,3.254935970598591E-4
extent,3.254935970598591E-4
gain,3.254935970598591E-4
genetic,3.254935970598591E-4
screening,3.254935970598591E-4
scan,3.254935970598591E-4
load,3.254935970598591E-4
mild,3.254935970598591E-4
neuroimage,3.254935970598591E-4
enhance,3.254935970598591E-4
property,3.170477804858548E-4
outbreak,3.170477804858548E-4
memory,3.170477804858548E-4
site,3.083623551093402E-4
parietal,3.083623551093402E-4
peripheral,3.083623551093402E-4
majority,3.083623551093402E-4
salmonella,3.083623551093402E-4
identification,3.083623551093402E-4
accurate,3.083623551093402E-4
musashi-1,3.083623551093402E-4
neurobiology,3.083623551093402E-4
tracheostomy,3.083623551093402E-4
promise,3.083623551093402E-4
series,3.083623551093402E-4
active,3.083623551093402E-4
encounter,3.083623551093402E-4
weighted,3.083623551093402E-4
assay,3.083623551093402E-4
metapneumovirus,3.083623551093402E-4
link,3.083623551093402E-4
mixed,3.083623551093402E-4
widespread,3.083623551093402E-4
vein,3.083623551093402E-4
strain,3.083623551093402E-4
protocol,3.083623551093402E-4
hospitalize,3.083623551093402E-4
play,3.083623551093402E-4
tool,3.083623551093402E-4
practitioner,3.083623551093402E-4
assistant,3.083623551093402E-4
vbm,3.083623551093402E-4
69,3.083623551093402E-4
literacy,3.083623551093402E-4
classification,3.083623551093402E-4
maximum,3.083623551093402E-4
relative,3.083623551093402E-4
prnp,3.083623551093402E-4
antipsychotic,3.083623551093402E-4
csf,3.083623551093402E-4
amygdalum,3.083623551093402E-4
resonance,3.083623551093402E-4
flow,3.083623551093402E-4
cognition,2.944015104511509E-4
sound,2.944015104511509E-4
depressed,2.944015104511509E-4
expand,2.944015104511509E-4
diffusion,2.944015104511509E-4
company,2.944015104511509E-4
cluster,2.944015104511509E-4
subtype,2.912311131588213E-4
sex,2.912311131588213E-4
strong,2.912311131588213E-4
hypothesis,2.912311131588213E-4
application,2.912311131588213E-4
transmission,2.912311131588213E-4
fast,2.912311131588213E-4
tract,2.912311131588213E-4
safety,2.912311131588213E-4
reaction,2.912311131588213E-4
wall,2.912311131588213E-4
consecutive,2.912311131588213E-4
ultrasonography,2.912311131588213E-4
lack,2.912311131588213E-4
standard,2.912311131588213E-4
limb,2.912311131588213E-4
scale,2.912311131588213E-4
oral,2.912311131588213E-4
occurrence,2.912311131588213E-4
girl,2.912311131588213E-4
education,2.912311131588213E-4
corticosteroid,2.912311131588213E-4
elevated,2.912311131588213E-4
epidemiological,2.912311131588213E-4
90,2.912311131588213E-4
recently,2.912311131588213E-4
interest,2.912311131588213E-4
highest,2.912311131588213E-4
quality,2.912311131588213E-4
repeat,2.912311131588213E-4
past,2.912311131588213E-4
symptomatic,2.912311131588213E-4
chest,2.912311131588213E-4
uncontrolled,2.912311131588213E-4
concern,2.912311131588213E-4
blood,2.912311131588213E-4
topiramate,2.740998712083024E-4
goal,2.740998712083024E-4
asthma,2.740998712083024E-4
extremity,2.740998712083024E-4
upper,2.740998712083024E-4
side,2.740998712083024E-4
proportion,2.740998712083024E-4
deep,2.740998712083024E-4
anxiety,2.740998712083024E-4
waist,2.740998712083024E-4
reason,2.740998712083024E-4
molecular,2.740998712083024E-4
add,2.740998712083024E-4
prognosis,2.740998712083024E-4
temporal,2.740998712083024E-4
polymorphism,2.740998712083024E-4
additional,2.740998712083024E-4
infant,2.740998712083024E-4
abnormal,2.740998712083024E-4
pib,2.740998712083024E-4
retrospective,2.740998712083024E-4
correct,2.740998712083024E-4
inositol,2.740998712083024E-4
gel,2.740998712083024E-4
p300,2.740998712083024E-4
thin,2.740998712083024E-4
relapse,2.740998712083024E-4
bronchiectasis,2.740998712083024E-4
ed,2.740998712083024E-4
fly,2.740998712083024E-4
survival,2.740998712083024E-4
obstructive,2.740998712083024E-4
central,2.740998712083024E-4
elderly,2.740998712083024E-4
significance,2.740998712083024E-4
pathway,2.740998712083024E-4
avian,2.740998712083024E-4
70,2.740998712083024E-4
benign,2.740998712083024E-4
23,2.740998712083024E-4
comprise,2.740998712083024E-4
smoking,2.740998712083024E-4
die,2.740998712083024E-4
enoxaparin,2.740998712083024E-4
term,2.740998712083024E-4
water,2.740998712083024E-4
manage,2.740998712083024E-4
suicidality,2.740998712083024E-4
anticonvulsant,2.740998712083024E-4
good,2.740998712083024E-4
plasma,2.740998712083024E-4
ccr,2.740998712083024E-4
spontaneous,2.740998712083024E-4
seasonal,2.7175524041644694E-4
eosinophilia,2.7175524041644694E-4
epidemiologic,2.7175524041644694E-4
aspirate,2.7175524041644694E-4
angiogram,2.7175524041644694E-4
sa,2.7175524041644694E-4
immunoglobulin,2.569686292577835E-4
contact,2.569686292577835E-4
medicine,2.569686292577835E-4
subsequent,2.569686292577835E-4
percentage,2.569686292577835E-4
admission,2.569686292577835E-4
resolution,2.569686292577835E-4
resistance,2.569686292577835E-4
account,2.569686292577835E-4
classify,2.569686292577835E-4
program,2.569686292577835E-4
continue,2.569686292577835E-4
entity,2.569686292577835E-4
component,2.569686292577835E-4
persistent,2.569686292577835E-4
wide,2.569686292577835E-4
decision,2.569686292577835E-4
traditional,2.569686292577835E-4
attention,2.569686292577835E-4
option,2.569686292577835E-4
section,2.569686292577835E-4
administration,2.569686292577835E-4
progression,2.569686292577835E-4
end,2.569686292577835E-4
rapid,2.569686292577835E-4
emergency,2.569686292577835E-4
echocardiography,2.569686292577835E-4
part,2.569686292577835E-4
critical,2.569686292577835E-4
reliability,2.569686292577835E-4
short,2.569686292577835E-4
document,2.569686292577835E-4
bacterial,2.569686292577835E-4
obese,2.569686292577835E-4
febrile,2.4910897038174306E-4
hyperglycaemia,2.4910897038174306E-4
display,2.4910897038174306E-4
acquire,2.4910897038174306E-4
a16,2.4910897038174306E-4
valine,2.3983738730726462E-4
inhibitor,2.3983738730726462E-4
degree,2.3983738730726462E-4
manganese,2.3983738730726462E-4
access,2.3983738730726462E-4
diffuse,2.3983738730726462E-4
astrogliosis,2.3983738730726462E-4
stress,2.3983738730726462E-4
lavage,2.3983738730726462E-4
infected,2.3983738730726462E-4
income,2.3983738730726462E-4
adenosine,2.3983738730726462E-4
consist,2.3983738730726462E-4
reactive,2.3983738730726462E-4
global,2.3983738730726462E-4
conventional,2.3983738730726462E-4
sensitive,2.3983738730726462E-4
chinese,2.3983738730726462E-4
duplication,2.3983738730726462E-4
discussion,2.3983738730726462E-4
nipple,2.3983738730726462E-4
recurrence,2.3983738730726462E-4
service,2.3983738730726462E-4
china,2.3983738730726462E-4
calculate,2.3983738730726462E-4
note,2.3983738730726462E-4
wt,2.3983738730726462E-4
ability,2.3983738730726462E-4
origin,2.3983738730726462E-4
dn,2.3983738730726462E-4
interview,2.3983738730726462E-4
rt-pcr,2.3983738730726462E-4
professional,2.3983738730726462E-4
shape,2.3983738730726462E-4
scjd,2.3983738730726462E-4
extensive,2.3983738730726462E-4
cholesterol,2.3983738730726462E-4
intensity,2.3983738730726462E-4
hypoglycaemia,2.3983738730726462E-4
average,2.3983738730726462E-4
promote,2.3983738730726462E-4
radiology,2.3983738730726462E-4
ebus-tbna,2.3983738730726462E-4
address,2.3983738730726462E-4
conformer,2.3983738730726462E-4
coronavirus,2.2646270034703915E-4
radiography,2.2646270034703915E-4
plant,2.2646270034703915E-4
staging,2.2646270034703915E-4
conformation,2.2646270034703915E-4
barium,2.2646270034703915E-4
familial,2.2646270034703915E-4
posterior,2.2646270034703915E-4
bronchitis,2.2646270034703915E-4
alveolar,2.2646270034703915E-4
fitness,2.2646270034703915E-4
isoform,2.2646270034703915E-4
observation,2.2270614535674572E-4
guide,2.2270614535674572E-4
respondent,2.2270614535674572E-4
national,2.2270614535674572E-4
daily,2.2270614535674572E-4
thought,2.2270614535674572E-4
local,2.2270614535674572E-4
defect,2.2270614535674572E-4
variation,2.2270614535674572E-4
secretion,2.2270614535674572E-4
aspect,2.2270614535674572E-4
culture,2.2270614535674572E-4
hour,2.2270614535674572E-4
clear,2.2270614535674572E-4
sepsis,2.2270614535674572E-4
rarely,2.2270614535674572E-4
integration,2.2270614535674572E-4
manifestation,2.2270614535674572E-4
trauma,2.2270614535674572E-4
purpose,2.2270614535674572E-4
exist,2.2270614535674572E-4
exclude,2.2270614535674572E-4
essential,2.2270614535674572E-4
consideration,2.2270614535674572E-4
contribute,2.2270614535674572E-4
korean,2.2270614535674572E-4
administer,2.2270614535674572E-4
newly,2.2270614535674572E-4
mr.,2.2270614535674572E-4
apply,2.2270614535674572E-4
progress,2.2270614535674572E-4
hypoxaemia,2.2270614535674572E-4
recognition,2.2270614535674572E-4
skin,2.2270614535674572E-4
training,2.2270614535674572E-4
ultrasound,2.2270614535674572E-4
initiate,2.2270614535674572E-4
infiltrate,2.2270614535674572E-4
left,2.2270614535674572E-4
match,2.0557490340622681E-4
glimepiride,2.0557490340622681E-4
vegfr-2,2.0557490340622681E-4
unusual,2.0557490340622681E-4
atropine,2.0557490340622681E-4
ssm,2.0557490340622681E-4
world,2.0557490340622681E-4
striatum,2.0557490340622681E-4
differentiate,2.0557490340622681E-4
gerd,2.0557490340622681E-4
simple,2.0557490340622681E-4
mexico,2.0557490340622681E-4
style,2.0557490340622681E-4
radiodensity,2.0557490340622681E-4
broad,2.0557490340622681E-4
description,2.0557490340622681E-4
call,2.0557490340622681E-4
transpulmonary,2.0557490340622681E-4
susceptibility,2.0557490340622681E-4
alba,2.0557490340622681E-4
demographic,2.0557490340622681E-4
out-patient,2.0557490340622681E-4
jupiter,2.0557490340622681E-4
distress,2.0557490340622681E-4
complicate,2.0557490340622681E-4
video-assisted,2.0557490340622681E-4
count,2.0557490340622681E-4
talc,2.0557490340622681E-4
typhoid,2.0557490340622681E-4
fracture,2.0557490340622681E-4
hypersensitivity,2.0557490340622681E-4
basis,2.0557490340622681E-4
bronchoscopy,2.0557490340622681E-4
alpha2,2.0557490340622681E-4
i-e,2.0557490340622681E-4
regimen,2.0557490340622681E-4
date,2.0557490340622681E-4
antibiotic,2.0557490340622681E-4
mmol/l,2.0557490340622681E-4
aspartate,2.0557490340622681E-4
alteration,2.0557490340622681E-4
