topicNum	Pmcid
0	2245957
0	3451760
0	2275741
0	3119170
0	3487241
0	2542373
0	3568883
0	3545850
0	2253520
0	3096433
0	2720838
0	2827076
0	1379641
0	3259311
0	3816164
0	3864880
0	3485358
0	2991647
0	2556664
0	3034036
0	2938490
0	3691259
0	3205748
0	3324678
0	3379934
0	3581600
0	1326224
0	2096525
0	3877606
0	3064452
0	3063538
0	1291370
0	3695277
0	3124303
0	3116109
0	3616067
0	1552052
0	1559700
0	3667058
0	3473309
0	3154169
0	2267791
0	2806544
0	3266527
0	2984131
0	2827053
0	3495044
0	3442737
0	2872585
0	3630950
0	3516242
0	3486788
0	3878623
0	2909175
0	3366320
0	3500825
0	3150702
0	3529253
0	3667142
0	3603620
0	3797893
0	3250995
0	2859340
0	3430051
0	2009807
0	3501674
0	3667449
0	3073886
0	3655517
0	3174928
0	2842230
0	2929215
0	2872101
0	3437195
0	3556772
0	3807673
0	3744738
0	3122596
0	2570577
0	1413557
0	3701502
0	1939729
0	3584493
0	3318207
0	2738308
0	3177926
0	3109313
0	1241467
0	3608039
0	2889887
0	1034982
0	2377075
0	1044649
0	2903528
0	2665694
0	1043897
0	3520826
0	2799065
0	3283750
0	394347
1	3797049
1	3542338
1	3609679
1	3004168
1	3655859
1	3546448
1	3655108
1	3514121
1	2862513
1	2008231
1	3377421
1	2365966
1	3161879
1	2958542
1	3160889
1	2946956
1	2974995
1	3817182
1	3818615
1	2000906
1	3600016
1	2848228
1	3271560
1	3323279
1	3512826
1	3513065
1	3876596
1	2453150
1	3499172
1	3750238
1	2705343
1	3131766
1	3162832
1	2769341
1	3624657
1	1277866
1	3488497
1	2569011
1	3361214
1	2887155
1	3492084
1	3110167
1	2697585
1	2377328
1	2981051
1	3599920
1	2958032
1	3102475
1	2750192
1	3700969
1	2276236
1	3429833
1	3250002
1	3343011
1	3418594
1	3109840
1	3118379
1	2615299
1	3546880
1	3544070
1	3283557
1	3314854
1	3373100
1	3342739
1	3810764
1	2714572
1	3403114
1	2007755
1	3062014
1	3884116
1	3276037
1	1647271
1	3133999
1	3724088
1	3711493
1	2591236
1	3353156
1	2443005
1	3438259
1	1257651
1	3844354
1	3542335
1	3848829
1	3691645
1	3543560
1	3180715
1	2988180
1	1697742
1	2890005
1	60654
1	3679740
1	2698064
1	3580369
1	3094427
1	3622346
1	3208918
1	3090107
1	3738945
1	2727333
1	2822157
2	2627817
2	3381629
2	3804668
2	2936317
2	1252637
2	3475880
2	3635690
2	2726531
2	3557624
2	2883201
2	2851150
2	3207834
2	3443668
2	3139140
2	3651929
2	3465000
2	3524162
2	3430646
2	3127816
2	3789752
2	3527895
2	3579994
2	1308873
2	2385751
2	2700075
2	3713559
2	2686081
2	3861582
2	3330899
2	2629028
2	2654340
2	1904203
2	3732865
2	1382229
2	3537562
2	1781074
2	2740189
2	3345605
2	3742061
2	3522346
2	3475020
2	3279426
2	3195099
2	2740308
2	2467416
2	3447679
2	3767014
2	3051084
2	3343246
2	3214347
2	2885262
2	3663347
2	2798987
2	3488528
2	2364151
2	3697234
2	3853387
2	1702556
2	2718866
2	2001323
2	3485125
2	3677352
2	3639824
2	3824083
2	3524457
2	149412
2	2000477
2	3603620
2	2366074
2	3674341
2	1784684
2	3000810
2	3876714
2	3122553
2	3273369
2	2242663
2	3812137
2	3803127
2	2774290
2	3177881
2	3130373
2	3316967
2	2740244
2	3635626
2	3420654
2	3403114
2	2361840
2	1635568
2	3162981
2	2872603
2	2958331
2	3618043
2	2633327
2	3199241
2	3301534
2	2216560
2	3570364
2	3207210
2	3481076
2	3669560
3	3056414
3	2040151
3	3602671
3	2719199
3	2949848
3	3612332
3	2438311
3	3699943
3	3064058
3	2799065
3	416478
3	3266188
3	2661248
3	3844236
3	2246263
3	3212703
3	3741390
3	2700613
3	3545138
3	2760722
3	3702368
3	3534160
3	3264881
3	2650972
3	3662093
3	3625882
3	1852906
3	2139427
3	1280401
3	3485560
3	2010645
3	3214188
3	3232543
3	2998473
3	3524466
3	3034062
3	2722022
3	3701927
3	3194748
3	3627708
3	3407625
3	2526403
3	3403954
3	3891391
3	3013186
3	3659120
3	2880285
3	425582
3	3539048
3	3439359
3	3461421
3	1160573
3	3807990
3	2329657
3	3098415
3	3649697
3	3734755
3	3891393
3	3112241
3	1568587
3	2384340
3	2646726
3	3888614
3	3522322
3	3626397
3	1177974
3	3084169
3	3772255
3	3772322
3	442117
3	3263074
3	3663351
3	2607021
3	3162801
3	3890744
3	3291424
3	3370327
3	3777375
3	3235783
3	3544609
3	2797018
3	3505772
3	3461428
3	3771473
3	2730282
3	3529645
3	3065056
