Semantic Word,TFIDF
patient,0.020277584304643423
colonoscopy,0.007213514859087771
study,0.006940539018093399
polyp,0.005862342891524503
cancer,0.00565464342804284
treatment,0.005638157587144757
adenoma,0.005600825736512258
disease,0.004434691201584618
systemic,0.004269832792603777
year,0.004170917747215273
case,0.003989573497336348
risk,0.00395660181554018
woman,0.003758771724763171
report,0.003709314202068919
increase,0.00314879561153406
present,0.003099338088839808
include,0.0030663664070436393
therapy,0.003049880566145556
diagnosis,0.002934479679858967
group,0.002885022157164715
show,0.002736649589081958
polyposis,0.002724137031377557
effect,0.002720163748183874
clinical,0.002687192066387706
factor,0.002588277020999201
result,0.002588277020999201
management,0.0025223336574068645
lesion,0.00242341861201836
+,0.002357475248426024
age,0.002308017725731772
rate,0.002308017725731772
high,0.0022420743621394353
mutation,0.002201102721353066
analysis,0.002192616839445183
level,0.0021761309985470993
compare,0.0021761309985470993
fracture,0.0020607301122605105
syndrome,0.0020112725895662584
perform,0.001961815066872006
obstructive,0.0019453292259739216
control,0.0019288433850758377
outcome,0.0018629000214835016
review,0.0018464141805854173
osteoporosis,0.0018306200850857185
screening,0.0018299283396873334
colorectal,0.0017870338925836775
significant,0.001747499135196913
day,0.001747499135196913
follow,0.0017310132942988288
base,0.0017145274534007447
finding,0.0016980416125026605
trial,0.0016980416125026605
score,0.0016815557716045766
datum,0.0016650699307064925
appendicitis,0.0016344822188265342
find,0.0016320982489103242
role,0.00161561240801224
time,0.0015991265671141562
complication,0.0015826407262160718
malaria,0.001566154885317988
mortality,0.001549669044419904
efficacy,0.0015331832035218197
treat,0.0015331832035218197
month,0.0015331832035218197
colon,0.0015166973626237357
test,0.0015002115217256514
assess,0.0014672398399294836
surgery,0.0014672398399294836
appendectomy,0.0014601374488183705
method,0.0014507539990313992
detect,0.0014342681581333153
rare,0.0014342681581333153
tumor,0.0014177823172352314
symptom,0.0014177823172352314
positive,0.001401296476337147
hypertension,0.001401296476337147
activity,0.001401296476337147
change,0.0013848106354390631
apc,0.0013848106354390631
evaluate,0.0013848106354390631
suggest,0.0013518389536428949
aim,0.0013518389536428949
gene,0.0013188672718467266
index,0.0013188672718467266
common,0.0013188672718467266
difference,0.0013023814309486425
care,0.0012858955900505586
+2,0.0012858955900505586
intussusception,0.0012857926788102068
diagnose,0.0012694097491524744
total,0.0012529239082543903
occur,0.0012529239082543903
health,0.0012529239082543903
lower,0.0012529239082543903
population,0.001219952226458222
reveal,0.001219952226458222
follow-up,0.0012034663855601381
injury,0.0012034663855601381
presence,0.0012034663855601381
pressure,0.0012034663855601381
week,0.001186980544662054
prevalence,0.001186980544662054
severe,0.001186980544662054
related,0.0011704947037639698
detection,0.0011704947037639698
endoscopic,0.001154008862865886
measure,0.001154008862865886
observe,0.001154008862865886
provide,0.001154008862865886
crc,0.001154008862865886
approach,0.0011375230219678018
cell,0.0011375230219678018
resection,0.0011210371810697177
expression,0.0011210371810697177
pregnancy,0.0011045513401716335
menopause,0.0010896548125510228
lupus,0.0010896548125510228
development,0.0010880654992735496
pouch,0.0010880654992735496
association,0.0010880654992735496
incidence,0.0010715796583754655
lead,0.0010550938174773814
reduce,0.0010550938174773814
history,0.0010550938174773814
drug,0.0010550938174773814
polypectomy,0.0010550938174773814
identify,0.0010386079765792972
receive,0.0010386079765792972
advance,0.0010221221356812133
combination,0.0010221221356812133
potential,0.0010056362947831292
dose,0.0010056362947831292
-,0.0010056362947831292
reduction,9.89150453885045E-4
event,9.726646129869608E-4
cabergoline,9.561787720888769E-4
large,9.561787720888769E-4
colonography,9.561787720888769E-4
prolactinoma,9.561787720888769E-4
mouse,9.561787720888769E-4
safety,9.561787720888769E-4
