Semantic Type,TFIDF
qlco,0.07648402609486436
ftcn,0.06671786753998751
qnco,0.059491963164478905
tmco,0.03428685045209459
dsyn,0.03316808565807231
inpr,0.025994829037576512
fndg,0.0251393030186183
topp,0.02290177343057374
idcn,0.0227438301655353
phsu,0.019453345477234475
spco,0.019308564150949236
neop,0.01779494119433086
aapp,0.01464923783231527
podg,0.014320189363485189
acty,0.012424870183023915
diap,0.010924409165158737
bpoc,0.010437417431290216
orch,0.00950291977981278
popg,0.009450272024799969
hlca,0.009305490698514732
imft,0.009147547433476292
mnob,0.007923487129428386
resa,0.007673410293117523
patf,0.007515467028079084
menp,0.006857370090418919
orga,0.006436188050316413
gngm,0.006396702234056803
inpo,0.006120301520239534
lbpr,0.005883386622681874
geoa,0.004711974073646781
sosy,0.004698812134893577
clna,0.004698812134893577
bac,0.004409249482323105
cnce,0.004040715197233412
orgf,0.003974905503467395
socb,0.0038827719321949733
bmod,0.0033168085658072314
genf,0.003093055607002775
ocac,0.0029614362194707424
prog,0.002948274280717539
medd,0.0028166548931855056
anab,0.002777169076925896
phsf,0.002461282546849017
cell,0.0022375295880445608
horm,0.002119072139265731
inbe,0.0020664243842529175
ortf,0.0020006146904869015
aggp,0.001961128874227291
hcro,0.001855833364201665
strd,0.001816347547942055
bdsu,0.0016320804053972088
cla,0.0016057565278908023
mamm,0.001592594589137599
famg,0.001539946834124786
tisu,0.0015136229566183792
phpr,0.001500461017865176
elius,0.0014741371403587695
enzy,0.001447813262852363
nnon,0.0014214893853459563
blor,0.0014083274465927528
mobd,0.0013556796915799396
grup,0.0013425177528267364
dora,0.0012898699978139232
npop,0.0012635461203075165
ocdus,0.0011977364265415
comd,0.0011845744877882968
sbst,0.0011714125490350936
moft,0.0011450886715286869
irda,0.001105602855269077
celf,0.0010792789777626704
euka,9.871454064902473E-4
bdsy,9.871454064902473E-4
orgt,9.476595902306375E-4
rcpt,9.213357127242309E-4
food,9.213357127242309E-4
cgab,9.081737739710275E-4
opco,8.81849896464621E-4
acab,8.686879577114176E-4
antb,8.686879577114176E-4
nusq,8.555260189582143E-4
hop,7.633924476857912E-4
lbtr,7.50230508932588E-4
hcpp,7.50230508932588E-4
bodm,7.239066314261815E-4
inch,7.239066314261815E-4
chvf,6.449349989069616E-4
edac,6.317730601537582E-4
mbrt,5.528014276345385E-4
celc,5.528014276345385E-4
biof,5.133156113749286E-4
humn,4.8699173386852204E-4
evnt,4.8699173386852204E-4
lipd,4.8699173386852204E-4
grpa,4.7382979511531874E-4
emst,4.4750591760891215E-4
vita,3.6853428508969236E-4
vir,3.4221040758328577E-4
enty,3.290484688300824E-4
bsoj,3.027245913236758E-4
bhvr,3.027245913236758E-4
orgm,2.8956265257047253E-4
plnt,2.500768363108627E-4
mcha,2.2375295880445607E-4
lang,2.1059102005125278E-4
chv,2.1059102005125278E-4
bird,1.7110520379164289E-4
rnlw,1.5794326503843956E-4
anim,1.5794326503843956E-4
gora,1.5794326503843956E-4
carb,1.4478132628523626E-4
clnd,1.31619387532033E-4
amas,1.2179395634732328E-4
nsba,1.0529551002562639E-4
emod,1.043948197262771E-4
bact,9.213357127242309E-5
resd,8.699568310523091E-5
chem,7.897163251921978E-5
anst,5.219740986313855E-5
eico,5.219740986313855E-5
eehu,3.948581625960989E-5
phob,2.6323877506406597E-5
fng,1.3161938753203298E-5
fish,1.3161938753203298E-5
